,base_model,base_model_size,data,workload,model,model_param_name_1,model_param_value_1,model_param_name_2,model_param_value_2,ratio,size_1,size_2,model_size
50,AstridEach,6399027,WIKI,Astrid,DREAM,ch-es,306,,0.0,1.0,6394232,0,6394232
51,AstridEach,6399027,WIKI,Astrid,LPLM,hidden-dim,610,,0.0,1.0,6385717,0,6385717
52,AstridEach,6399027,WIKI,Astrid,CLIQUE-100,rnn-hs,486,,,1.0,6396213,0,6396213
53,AstridEach,3425331,IMDB,Astrid,DREAM,ch-es,933,,0.0,1.0,3425144,0,3425144
54,AstridEach,3425331,IMDB,Astrid,LPLM,hidden-dim,466,,0.0,1.0,3419125,0,3419125
55,AstridEach,3425331,IMDB,Astrid,CLIQUE-100,rnn-hs,392,,,1.0,3412149,0,3412149
56,AstridEach,3032115,DBLP,Astrid,DREAM,ch-es,788,,0.0,1.0,3031032,0,3031032
57,AstridEach,3032115,DBLP,Astrid,LPLM,hidden-dim,442,,0.0,1.0,3022709,0,3022709
58,AstridEach,3032115,DBLP,Astrid,CLIQUE-100,rnn-hs,365,,,1.0,3020853,0,3020853
59,AstridEach,1582131,GENE,Astrid,DREAM,ch-es,185,,0.0,1.0,1581176,0,1581176
60,AstridEach,1582131,GENE,Astrid,LPLM,hidden-dim,328,,0.0,1.0,1574901,0,1574901
61,AstridEach,1582131,GENE,Astrid,CLIQUE-100,rnn-hs,246,,,1.0,1576885,0,1576885
62,AstridEach,2786355,AUTHOR,Astrid,DREAM,ch-es,694,,0.0,1.0,2784056,0,2784056
63,AstridEach,2786355,AUTHOR,Astrid,LPLM,hidden-dim,426,,0.0,1.0,2782133,0,2782133
64,AstridEach,2786355,AUTHOR,Astrid,CLIQUE-100,rnn-hs,348,,,1.0,2786101,0,2786101
